amount,transaction_hour,merchant_type,location,account_age,is_fraud
70.39021349652886,21,Groceries,Local,685,0
451.51821463762815,12,Retail,Domestic,2282,0
197.5118540318174,15,Retail,International,3437,0
136.94138306639297,12,Dining,Local,3610,0
25.443730569351942,3,Retail,Local,562,1
25.439443787190775,3,Groceries,Local,2546,0
8.975815291302101,10,Retail,Domestic,2715,0
301.68462967199093,22,Retail,Local,2660,0
137.8623230440897,13,Dining,Local,1443,0
184.68750925568855,2,Online Subscription,Domestic,2640,0
3.1198961998707935,18,Online Subscription,Local,2589,0
525.5336212737468,21,Dining,Local,3207,0
267.96443150320124,0,Online Subscription,International,62,0
35.80314378734205,4,Electronics,International,1095,0
30.101848312449505,16,Retail,Local,1919,0
30.391713424838557,0,Groceries,Local,1826,0
54.413059419071566,18,Electronics,Local,944,1
111.58917462912817,18,Groceries,Local,2693,0
84.8305600170505,3,Groceries,International,117,0
51.633448883091226,18,Dining,Domestic,2558,0
141.9556310849698,5,Online Subscription,Domestic,1544,0
22.5351793091008,14,Electronics,Local,1224,0
51.82732680036034,3,Retail,Local,2603,0
68.44158273312706,23,Crypto,Local,989,0
91.34020317896625,0,Groceries,Local,1716,0
230.6904016546368,23,Groceries,Local,2890,0
33.410379319303544,16,Retail,Local,2598,0
108.30437325496915,10,Crypto,Local,2823,0
134.62570819646407,16,Retail,Local,2385,0
7.134577463461282,22,Groceries,Local,184,0
140.29995309744152,0,Groceries,Local,3568,0
28.044187796612462,8,Groceries,Local,1454,0
10.089589631895636,13,Dining,Local,3065,0
446.0531690260396,14,Groceries,Local,2328,0
505.59455136917586,23,Electronics,International,2851,0
247.8497359219315,0,Retail,Local,1737,0
54.49317899531374,1,Retail,Domestic,3114,0
15.416597250375936,17,Groceries,International,1987,0
172.91261446479928,17,Groceries,Local,1324,0
87.01362638780975,5,Retail,Local,516,1
19.522835093167295,19,Travel,Local,3040,0
102.53208422012253,7,Retail,Local,3436,0
5.249058216521862,0,Travel,Local,2038,0
360.0634331089536,14,Online Subscription,Domestic,119,0
44.91866652610291,9,Groceries,Local,3149,0
162.93836978474704,3,Groceries,DarkWeb,792,0
56.03198724864355,9,Retail,Domestic,2887,0
110.11663438638429,10,Dining,Local,3195,0
118.68356969726963,4,Groceries,Local,2482,0
30.658289926185862,8,Dining,Local,2011,0
523.921069910434,4,Dining,Local,1426,0
223.8368065707211,10,Electronics,Local,3422,0
420.76416289373736,2,Groceries,Domestic,668,0
337.8227996301295,3,Groceries,Local,1437,0
136.65816185749125,9,Retail,Local,2377,0
382.41530689041076,6,Retail,Domestic,103,0
13.898318842967344,0,Retail,Local,871,0
32.72020419469012,5,Electronics,Local,1365,0
6.942294853024793,7,Online Subscription,Local,1965,0
59.029813020463024,16,Retail,Local,1927,0
73.81954376913279,23,Groceries,Domestic,1069,0
47.48406648132386,6,Dining,International,2393,0
264.6836797861401,0,Retail,Local,2458,0
66.18404992948052,8,Online Subscription,Local,3572,0
49.47042602013738,10,Crypto,Local,1606,0
117.3610624811619,18,Retail,Domestic,49,0
22.784722173094327,1,Retail,Domestic,119,0
243.0725393662097,22,Groceries,Local,852,0
11.621380321696352,10,Groceries,Local,1426,0
650.1219509380979,2,Groceries,International,468,1
221.9225664362267,16,Groceries,Local,1554,0
33.230916075882895,9,Dining,Domestic,47,0
0.8306130563903212,2,Dining,Domestic,1,0
